1, 5, 10, 23, 16, 10
2, 20, 20, 154, 42, 26
3, 34, 34, 324, 144, 144
4, 14, 25, 135, 46, 38
5, 10, 11, 23, 11, 11
6, 27, 23, 248, 90, 108
7, 34, 40, 638, 194, 268
8, 40, 35, 525, 137, 161
9, 45, 45, 1115, 280, 287
10, 50, 45, 175, 94, 84
11, 55, 60, 1505, 457, 422
12, 45, 50, 932, 212, 230
13, 55, 60, 1099, 351, 347
14, 20, 20, 176, 72, 68
15, 65, 45, 996, 74, 188
16, 47, 47, 795, 210, 226
17, 60, 50, 1172, 279, 300
18, 50, 70, 1195, 209, 220
19, 25, 25, 234, 98, 103
20, 40, 40, 725, 265, 276
21, 55, 55, 1626, 428, 385
22, 19, 19, 45, 27, 27
23, 50, 40, 837, 257, 297
24, 52, 63, 979, 373, 228
25, 60, 60, 2100, 814, 824
26, 47, 40, 391, 203, 229
27, 36, 42, 311, 178, 133
28, 99, 59, 1731, 1024, 849
